library,count
logging,2291
wandb,355
neptune,43
tensorflow,26
mlflow,159
comet_ml,70
dowel,260
ml_logger,49
tensorboard,61
whylogs,3
sacred,2
,
library_type,count
general-purpose,2200
ML-specific,879
hybrid,240
,
number_of_logging_statements,16031
number_of_functions,4137
