library,count,,,,
logging,10499,,,,
wandb,1459,,,,
neptune,240,,,,
tensorflow,69,,,,
mlflow,811,,,,
comet_ml,108,,,,
dowel,2031,,,,
ml_logger,369,,,,
tensorboard,320,,,,
whylogs,3,,,,
sacred,2,,,,
,,,,,
number_of_logging_statements,15911,,,,
number_of_functions,4073,,,,
,,,,,
log_level,count,,,,
warning,1240,7,8,3,1258
info,6359,65,1,,6425
exception,150,,,,150
debug,1191,1,,,1192
error,893,2,,,895
warn,113,,,,113
fatal,16,,,,16
critical,27,,,,27
,,,,,10076
