repository_full_name,Contributors,Stars,created_date,description,language,Commit,Size,archived,accessible
ggiuffre/tf-lyrics,30.0,2.0,2020-08-02T12:16:04Z,,Python,100.0,63221.0,False,True
flaneur-ml/auto-features-extraction-for-RL,2.0,3.0,2018-02-03T09:45:18Z,Finding the most similar textual documents using Case-Based Reasoning,Python,152.0,20316.0,False,True
aviresler/antique-gen,5.0,3.0,2019-07-29T09:49:33Z,,Python,123.0,230.0,False,True
noopurdhawan/transformers,2.0,27.0,2020-12-26T00:12:53Z,IIRC: Incremental Implicitly Refined Classification,Python,5488.0,6601.0,False,True
zuowang/mxnet,7.0,3.0,2021-08-18T13:42:04Z,,Python,4237.0,976.0,False,True
craftmine1000/jukebox-saveopt,30.0,4082.0,2015-03-17T16:00:20Z,Deep Learning GPU Training System,HTML,165.0,51154.0,False,True
craftmine1000/jukebox-saveopt,30.0,4082.0,2015-03-17T16:00:20Z,Deep Learning GPU Training System,HTML,165.0,51154.0,False,True
markusfleck/transformers-mirror,2.0,96.0,2018-12-19T23:59:59Z,"Segregation Measurement, Inferential Statistics, and Decomposition Analysis",Jupyter Notebook,5942.0,145555.0,False,True
onehahaha756/yolov5_ship_detection,2.0,7.0,2018-05-20T15:01:10Z,,Python,1215.0,21.0,False,True
Allen8838/Data-Science-Projects,2.0,133.0,2016-08-20T21:09:06Z,"Source code for our ECCV16 paper, Face Detection with End-to-End Integration of a ConvNet and a 3D Model",C++,286.0,15858.0,,False
arthurmensch/modl,4.0,2.0,2021-04-14T14:48:28Z,utilities for EREMUS dataset,Python,401.0,352.0,False,True
dmatrix/spark-saturday,30.0,17.0,2019-11-01T18:00:56Z,,Python,195.0,78232.0,False,True
dogballlee/road_2_machine_learning,4.0,3.0,2018-10-16T03:44:20Z,NLU task (sentence semantics matching and classification) in tensorflow with simple software architecture.,Python,149.0,35858.0,False,True
ayushkarnawat/profit,10.0,72.0,2012-11-28T16:24:31Z,LambdaMart python implementation,Python,285.0,136.0,False,True
ximitiejiang/deep_learning_algorithm,4.0,15.0,2019-01-30T19:23:07Z,"Hands-On Serverless Deep Learning with TensorFlow and AWS Lambda, published by Packt",Python,208.0,138191.0,False,True
balister/pytorch,30.0,149.0,2022-04-18T12:13:46Z,,Python,41441.0,13646.0,False,True
