repository_full_name,number_contributor,number_stars,created_date,description,language,number_commit,sloc,archived,accessible,num_stars,num_forks,num_contributor,num_commit,Contributors,Stars,Commit,Size
ahnGeo/nia_attnet,16.0,6179.0,2022-09-11T16:39:45Z,NEW - YOLOv8 🚀 in PyTorch > ONNX > CoreML > TFLite,Python,3541.0,5514.0,False,True,,,,,,,,
istefano82/ludwig_clone,3.0,4.0,2017-10-02T21:12:58Z,Theano and Pytorch - Training Statistics and Graph Visualization ,Python,324.0,774920.0,False,True,,,,,,,,
Rulial/ultralytics_cv_copy,7.0,3.0,2022-11-02T12:24:20Z,A project to graph the distribution of traffic flow in HCMC,Python,24641.0,1686.0,False,True,,,,,,,,
TerboucheHacene/gans-specialization-coursera,30.0,7184.0,2019-11-23T18:40:48Z,"An open-source, low-code machine learning library in Python",Jupyter Notebook,132.0,262102.0,False,True,,,,,,,,
tcy63/CV_chimpanzee,2.0,2.0,2019-11-11T18:35:53Z,Companion repo to DeepForest for training large models from DeepForest python package.,Python,5001.0,28091.0,False,True,,,,,,,,
Lew-Lab/Deep-SMOLM,2.0,2.0,2015-09-21T10:08:16Z,"System for semantic based image indexing and retrieval using Python, FLANN library, Caffe deep learning framework and Flask web framework",JavaScript,122.0,1837.0,False,True,,,,,,,,
TalBarami/3DSkeleton,7.0,28.0,2019-05-10T02:50:00Z,A little logger for machine learning research,Python,4835.0,83.0,False,True,,,,,,,,
GastonGarciaGonzalez/Multivariate-Time-Series-Anomaly-Detection,2.0,22.0,2018-07-24T21:56:27Z,MLflow samples - deprecated,Python,328.0,687.0,False,True,,,,,,,,
itoyuimo/yolo,2.0,5.0,2021-12-07T20:05:14Z,,Python,534.0,304.0,False,True,,,,,,,,
pacolecc/AzureDatabricks-MLOps,3.0,5.0,2021-08-10T02:48:48Z,Group 24's repository for software engineering honour's research project in testing self-driving vehicles.,Python,2979.0,651.0,False,True,,,,,,,,
tianyunfei/mxnet-windows,2.0,2.0,2020-04-07T16:10:58Z,,Jupyter Notebook,112.0,78831.0,False,True,,,,,,,,
tuannguyen2103/test,30.0,2.0,2022-11-02T21:37:59Z,,Python,2707.0,13122.0,False,True,,,,,,,,
CristianBarsan/RNP_YOLOv5,3.0,148.0,2021-04-08T17:33:30Z,Location-Sensitive Visual Recognition with Cross-IOU Loss,Python,1174.0,28678.0,False,True,,,,,,,,
neptune-ai/neptune-client,30.0,379.0,2019-02-11T11:25:57Z,:ledger: Experiment tracking tool and model registry,Python,1432.0,8820.0,False,True,,,,,,,,
tbenst/glia,4.0,2.0,2015-10-16T02:54:54Z,A package to support neuroscientists in analyzing MEAs.,Jupyter Notebook,330.0,64470.0,False,True,,,,,,,,
Eryk96/NetSurfP-3.0,2.0,14.0,2021-01-13T09:43:16Z,NetSurfP 3.0: Protein secondary structure and relative solvent accessibility prediction,Jupyter Notebook,190.0,39322.0,False,True,,,,,,,,
Mikubill/sd-webui-controlnet,30.0,7390.0,2023-02-12T16:26:27Z,WebUI extension for ControlNet,Python,129.0,13443.0,False,True,,,,,,,,
lqrhy3/skin-disease-recognition,3.0,3.0,2023-02-18T21:10:14Z,,Jupyter Notebook,278.0,35401.0,False,True,,,,,,,,
anugyas/Graph-with-CARE,2.0,2.0,2021-11-02T18:13:33Z,,Jupyter Notebook,531.0,15235.0,False,True,,,,,,,,
chaoleili/jupyterlab_tensorboard,7.0,299.0,2018-08-14T12:36:26Z,Tensorboard extension for jupyterlab.,TypeScript,41441.0,1157.0,False,True,,,,,,,,
PenroseZ/vitis-ai,27.0,2.0,2021-01-26T09:34:05Z,,C++,1025.0,1114823.0,False,True,,,,,,,,
Fannovel16/comfy_controlnet_preprocessors,5.0,101.0,2023-03-02T10:04:28Z,,Python,521.0,4190.0,,False,,,,,,,,
ImportPaddle/MVFNet-Paddle,3.0,2.0,2021-10-25T02:23:03Z,MVFNet in Paddle,Python,218.0,2531.0,False,True,,,,,,,,
awslabs/amazon-neptune-tools,27.0,263.0,2018-02-14T05:13:35Z,Tools and utilities to enable loading data and building graph applications with Amazon Neptune.,Java,124.0,2349.0,False,True,,,,,,,,
geyang/ml-research-containers,3.0,2.0,2022-01-14T21:03:35Z,A list of community maintained docker images for deep reinforcement learning research,Dockerfile,28995.0,49.0,False,True,,,,,,,,
cmx/cmx-python,2.0,2.0,2020-07-26T20:02:14Z,"common mark for python, a module that turns your python module into a document in markdown",Python,5342.0,3580.0,False,True,,,,,,,,
geyang/blotch,4.0,10.0,2021-12-23T17:25:47Z,the server backend for ml-dash,Python,122.0,23067.0,False,True,,,,,,,,
15Moners/fluke,6.0,154.0,2021-09-24T01:41:27Z,,Python,1287.0,263990.0,False,True,,,,,,,,
holy44162/mmcv_imported,4.0,77.0,2023-01-19T16:21:57Z,"This is the codebase for SHOW in Generating Holistic 3D Human Motion from Speech [CVPR2023],",Python,124.0,33052.0,False,True,,,,,,,,
kenyo3023/Action_Recognition,4.0,24.0,2020-06-24T14:52:33Z,Threshold independent detection and localization of diffraction-limited spots.,Python,1762.0,345466.0,False,True,,,,,,,,
liuluyang530/gpt-pytorch,30.0,5701.0,2019-08-09T06:17:59Z,"Data Lake for Deep Learning. Multi-modal Vector Database for LLMs/LangChain. Store, query, version, & visualize datasets. Stream data in real-time to PyTorch/TensorFlow. https://activeloop.ai",Python,434.0,65311.0,False,True,,,,,,,,
qai222/ATMOxide,3.0,2.0,2021-09-19T05:58:14Z,SE-SSD 3D LiDAR detection with ROS wrapper (designed for LIO-SEGMOT),Python,11204.0,2404.0,False,True,,,,,,,,
PacktPublishing/Serverless-Deep-Learning-with-TensorFlow-and-AWS-Lambda,5.0,170.0,2018-04-21T07:27:55Z,"A logger, server and visualization dashboard for ML projects",Python,587.0,27058.0,False,True,,,,,,,,
geyang/ml_logger,16.0,545.0,2017-04-25T13:32:06Z,Keras package for region-based convolutional neural networks (RCNNs),Python,487.0,5321.0,False,True,,,,,,,,
kelvincjr/shared,5.0,5.0,2018-01-18T01:39:50Z,To use deep learning to identify patients whose tumor DNA mutations “look similar to” other tumors for which treatments are effective.,HTML,1044.0,174178.0,False,True,,,,,,,,
inferno-pytorch/speedrun,8.0,1093.0,2016-10-19T18:22:39Z,Precompiled packages for AWS Lambda,Python,4682.0,1888356.0,False,True,,,,,,,,
norbonorbo/hm2,4.0,20.0,2017-04-03T20:19:28Z,Simple area to test out concepts or try to reproduce isolated issues in Drake.,Jupyter Notebook,5461.0,12217.0,False,True,,,,,,,,
ryfeus/lambda-packs,2.0,2.0,2020-05-07T15:28:08Z,A repository of bioinformatics tool definitions generated by aCLImatise,,1207.0,524618.0,False,True,,,,,,,,
BlackQAQ/cv-2-yolo,2.0,54.0,2022-07-18T13:43:11Z,SNeS: Learning Probably Symmetric Neural Surfaces from Incomplete Data,Jupyter Notebook,1031.0,3212.0,False,True,,,,,,,,
SukheshNuthalapati/BeeSnap-ML,3.0,11.0,2018-09-17T10:00:23Z,"Jupyterlab Quick Start Guide, published by Packt",Jupyter Notebook,572.0,52.0,False,True,,,,,,,,
daithimarkham/Machine-Learning-Project,2.0,21.0,2021-04-14T09:43:55Z,A collection of Korean Text Datasets ready to use using Tensorflow-Datasets.,Python,122.0,342.0,False,True,,,,,,,,
ShubhamGoel2295/Cotton-leaf-plant-condition-prediction,2.0,2.0,2019-11-21T04:39:46Z,"Full project repo containing sub-packages for database, dataloaders, models, training, and analysis.",Jupyter Notebook,195.0,33655.0,False,True,,,,,,,,
Sachdw/The-Rock-Says,3.0,11.0,2019-12-18T01:00:49Z,DESIGN AND IMPLEMENTATION OF A MACHINE LEARNING PLATFORM,Jupyter Notebook,1723.0,3333.0,False,True,,,,,,,,
ofnote/lightex,2.0,18.0,2020-02-20T05:24:21Z,DefectNet: Towards Fast and Effective Defect Detection,Python,4120.0,30952.0,False,True,,,,,,,,
ShaikVasid/databricks-demo,2.0,19.0,2020-11-18T13:41:58Z,,Python,534.0,239.0,False,True,,,,,,,,
akachbat/FrenchFakeNews,30.0,2.0,2016-07-08T12:05:25Z,,C++,507.0,8239.0,False,True,,,,,,,,
ShevyMittal-GSLab/Airbnb_Regression,30.0,11626.0,2018-04-20T14:49:09Z,"Python package built to ease deep learning on graph, on top of existing DL frameworks.",Python,271.0,24423.0,False,True,,,,,,,,
dmlc/dgl,4.0,2.0,2020-07-09T21:36:24Z,,Jupyter Notebook,112.0,10278.0,False,True,,,,,,,,
ravimandal/DataBricks_Learning,2.0,22.0,2018-07-24T21:56:27Z,MLflow samples - deprecated,Python,958.0,687.0,False,True,,,,,,,,
undertheseanlp/sentiment,3.0,17.0,2017-12-01T03:49:08Z,Vietnamese Sentiment Analysis,Python,443.0,998259.0,,False,,,,,,,,
IVSR-SET-HUST/drone-coordinator,5.0,3.0,2020-08-02T07:40:03Z,,C++,426.0,310781.0,False,True,,,,,,,,
mac2bua/mlflow-tutorial-ai-marketplace,3.0,9.0,2021-09-29T11:48:36Z,,Jupyter Notebook,284.0,158.0,False,True,,,,,,,,
Mobile-IoT-Security-Lab/3PDroid-public,15.0,383.0,2020-06-30T08:06:10Z,"Knowledge-Aware machine LEarning (KALE): accessible machine learning from multiple sources for interdisciplinary research, part of the 🔥PyTorch ecosystem",Python,26319.0,18734.0,False,True,,,,,,,,
SaukratesK/TaxiFareModel,3.0,134.0,2020-03-22T05:34:48Z,"Codes accompanying the paper ""ROMA: Multi-Agent Reinforcement Learning with Emergent Roles"" (ICML 2020 https://arxiv.org/abs/2003.08039)",Python,112.0,102.0,False,True,,,,,,,,
kingofthenorth/lgm-le-wagon,16.0,172.0,2019-09-06T16:56:51Z,Python package for multi-view machine learning,Python,391.0,49478.0,False,True,,,,,,,,
theresearchai/unsupervised_meta_rl,4.0,4.0,2019-01-22T06:10:54Z,This project is dedicated to the task of citation extraction and segmentation in EXCITE,Python,1194.0,367236.0,False,True,,,,,,,,
chck/ml-management-tools,6.0,5.0,2020-08-07T17:19:56Z,"Training state of the art reinforcement learning agents to play the popular game, Super Smash Bros Brawl",Jupyter Notebook,156.0,114589.0,False,True,,,,,,,,
187990/NLU-assignment1,4.0,11.0,2021-02-11T07:19:56Z,"Codes accompanying the paper ""Context-Aware Sparse Deep Coordination Graphs (https://arxiv.org/abs/2106.02886).",Python,307.0,208.0,,False,,,,,,,,
dfdazac/monet,30.0,1668.0,2018-06-10T21:31:23Z,A toolkit for reproducible reinforcement learning research.,Python,1185.0,60358.0,False,True,,,,,,,,
